"",".model_id",".model_desc",".key",".index",".value",".conf_lo",".conf_hi"
"1",NA,"ACTUAL","actual",2015-02-01 00:00:00,140.470416557178,NA,NA
"2",NA,"ACTUAL","actual",2015-02-01 01:00:00,140.470416557178,NA,NA
"3",NA,"ACTUAL","actual",2015-02-01 02:00:00,140.470416557178,NA,NA
"4",NA,"ACTUAL","actual",2015-02-01 03:00:00,140.470416557178,NA,NA
"5",NA,"ACTUAL","actual",2015-02-01 04:00:00,140.470416557178,NA,NA
"6",NA,"ACTUAL","actual",2015-02-01 05:00:00,140.470416557178,NA,NA
"7",NA,"ACTUAL","actual",2015-02-01 06:00:00,140.470416557178,NA,NA
"8",NA,"ACTUAL","actual",2015-02-01 07:00:00,140.470416557178,NA,NA
"9",NA,"ACTUAL","actual",2015-02-01 08:00:00,140.470416557178,NA,NA
"10",NA,"ACTUAL","actual",2015-02-01 09:00:00,20994.4236057057,NA,NA
"11",NA,"ACTUAL","actual",2015-02-01 10:00:00,60705.6748914248,NA,NA
"12",NA,"ACTUAL","actual",2015-02-01 11:00:00,97311.0182553558,NA,NA
"13",NA,"ACTUAL","actual",2015-02-01 12:00:00,121049.02880045,NA,NA
"14",NA,"ACTUAL","actual",2015-02-01 13:00:00,132807.108790077,NA,NA
"15",NA,"ACTUAL","actual",2015-02-01 14:00:00,125042.338985607,NA,NA
"16",NA,"ACTUAL","actual",2015-02-01 15:00:00,123045.683893029,NA,NA
"17",NA,"ACTUAL","actual",2015-02-01 16:00:00,101748.029572196,NA,NA
"18",NA,"ACTUAL","actual",2015-02-01 17:00:00,47172.7903750624,NA,NA
"19",NA,"ACTUAL","actual",2015-02-01 18:00:00,5021.18286508131,NA,NA
"20",NA,"ACTUAL","actual",2015-02-01 19:00:00,140.470416557178,NA,NA
"21",NA,"ACTUAL","actual",2015-02-01 20:00:00,140.470416557178,NA,NA
"22",NA,"ACTUAL","actual",2015-02-01 21:00:00,140.470416557178,NA,NA
"23",NA,"ACTUAL","actual",2015-02-01 22:00:00,140.470416557178,NA,NA
"24",NA,"ACTUAL","actual",2015-02-01 23:00:00,140.470416557178,NA,NA
"25",NA,"ACTUAL","actual",2015-02-02 00:00:00,140.470416557178,NA,NA
"26",NA,"ACTUAL","actual",2015-02-02 01:00:00,140.470416557178,NA,NA
"27",NA,"ACTUAL","actual",2015-02-02 02:00:00,140.470416557178,NA,NA
"28",NA,"ACTUAL","actual",2015-02-02 03:00:00,140.470416557178,NA,NA
"29",NA,"ACTUAL","actual",2015-02-02 04:00:00,140.470416557178,NA,NA
"30",NA,"ACTUAL","actual",2015-02-02 05:00:00,140.470416557178,NA,NA
"31",NA,"ACTUAL","actual",2015-02-02 06:00:00,140.470416557178,NA,NA
"32",NA,"ACTUAL","actual",2015-02-02 07:00:00,140.470416557178,NA,NA
"33",NA,"ACTUAL","actual",2015-02-02 08:00:00,140.470416557178,NA,NA
"34",NA,"ACTUAL","actual",2015-02-02 09:00:00,6352.28626013335,NA,NA
"35",NA,"ACTUAL","actual",2015-02-02 10:00:00,27206.2394492819,NA,NA
"36",NA,"ACTUAL","actual",2015-02-02 11:00:00,38964.3194389082,NA,NA
"37",NA,"ACTUAL","actual",2015-02-02 12:00:00,106628.74202072,NA,NA
"38",NA,"ACTUAL","actual",2015-02-02 13:00:00,123045.683893029,NA,NA
"39",NA,"ACTUAL","actual",2015-02-02 14:00:00,122380.132195502,NA,NA
"40",NA,"ACTUAL","actual",2015-02-02 15:00:00,114837.212956874,NA,NA
"41",NA,"ACTUAL","actual",2015-02-02 16:00:00,94426.9608994097,NA,NA
"42",NA,"ACTUAL","actual",2015-02-02 17:00:00,42957.6296240643,NA,NA
"43",NA,"ACTUAL","actual",2015-02-02 18:00:00,3911.93003587128,NA,NA
"44",NA,"ACTUAL","actual",2015-02-02 19:00:00,140.470416557178,NA,NA
"45",NA,"ACTUAL","actual",2015-02-02 20:00:00,140.470416557178,NA,NA
"46",NA,"ACTUAL","actual",2015-02-02 21:00:00,140.470416557178,NA,NA
