"",".model_id",".model_desc",".key",".index",".value",".conf_lo",".conf_hi"
"1",NA,"ACTUAL","actual",2015-02-01 00:00:00,NA,NA,NA
"2",NA,"ACTUAL","actual",2015-02-01 01:00:00,NA,NA,NA
"3",NA,"ACTUAL","actual",2015-02-01 02:00:00,NA,NA,NA
"4",NA,"ACTUAL","actual",2015-02-01 03:00:00,NA,NA,NA
"5",NA,"ACTUAL","actual",2015-02-01 04:00:00,NA,NA,NA
"6",NA,"ACTUAL","actual",2015-02-01 05:00:00,NA,NA,NA
"7",NA,"ACTUAL","actual",2015-02-01 06:00:00,NA,NA,NA
"8",NA,"ACTUAL","actual",2015-02-01 07:00:00,NA,NA,NA
"9",NA,"ACTUAL","actual",2015-02-01 08:00:00,NA,NA,NA
"10",NA,"ACTUAL","actual",2015-02-01 09:00:00,NA,NA,NA
"11",NA,"ACTUAL","actual",2015-02-01 10:00:00,NA,NA,NA
"12",NA,"ACTUAL","actual",2015-02-01 11:00:00,NA,NA,NA
"13",NA,"ACTUAL","actual",2015-02-01 12:00:00,NA,NA,NA
"14",NA,"ACTUAL","actual",2015-02-01 13:00:00,NA,NA,NA
"15",NA,"ACTUAL","actual",2015-02-01 14:00:00,NA,NA,NA
"16",NA,"ACTUAL","actual",2015-02-01 15:00:00,NA,NA,NA
"17",NA,"ACTUAL","actual",2015-02-01 16:00:00,NA,NA,NA
"18",NA,"ACTUAL","actual",2015-02-01 17:00:00,NA,NA,NA
"19",NA,"ACTUAL","actual",2015-02-01 18:00:00,NA,NA,NA
"20",NA,"ACTUAL","actual",2015-02-01 19:00:00,NA,NA,NA
"21",NA,"ACTUAL","actual",2015-02-01 20:00:00,NA,NA,NA
"22",NA,"ACTUAL","actual",2015-02-01 21:00:00,NA,NA,NA
"23",NA,"ACTUAL","actual",2015-02-01 22:00:00,NA,NA,NA
"24",NA,"ACTUAL","actual",2015-02-01 23:00:00,NA,NA,NA
"25",NA,"ACTUAL","actual",2015-02-02 00:00:00,NA,NA,NA
"26",NA,"ACTUAL","actual",2015-02-02 01:00:00,NA,NA,NA
"27",NA,"ACTUAL","actual",2015-02-02 02:00:00,NA,NA,NA
"28",NA,"ACTUAL","actual",2015-02-02 03:00:00,NA,NA,NA
"29",NA,"ACTUAL","actual",2015-02-02 04:00:00,NA,NA,NA
"30",NA,"ACTUAL","actual",2015-02-02 05:00:00,NA,NA,NA
"31",NA,"ACTUAL","actual",2015-02-02 06:00:00,NA,NA,NA
"32",NA,"ACTUAL","actual",2015-02-02 07:00:00,NA,NA,NA
"33",NA,"ACTUAL","actual",2015-02-02 08:00:00,NA,NA,NA
"34",NA,"ACTUAL","actual",2015-02-02 09:00:00,NA,NA,NA
"35",NA,"ACTUAL","actual",2015-02-02 10:00:00,NA,NA,NA
"36",NA,"ACTUAL","actual",2015-02-02 11:00:00,NA,NA,NA
"37",NA,"ACTUAL","actual",2015-02-02 12:00:00,NA,NA,NA
"38",NA,"ACTUAL","actual",2015-02-02 13:00:00,NA,NA,NA
"39",NA,"ACTUAL","actual",2015-02-02 14:00:00,NA,NA,NA
"40",NA,"ACTUAL","actual",2015-02-02 15:00:00,NA,NA,NA
"41",NA,"ACTUAL","actual",2015-02-02 16:00:00,NA,NA,NA
"42",NA,"ACTUAL","actual",2015-02-02 17:00:00,NA,NA,NA
"43",NA,"ACTUAL","actual",2015-02-02 18:00:00,NA,NA,NA
"44",NA,"ACTUAL","actual",2015-02-02 19:00:00,NA,NA,NA
"45",NA,"ACTUAL","actual",2015-02-02 20:00:00,NA,NA,NA
"46",NA,"ACTUAL","actual",2015-02-02 21:00:00,NA,NA,NA
"47",NA,"ACTUAL","actual",2015-02-02 22:00:00,NA,NA,NA
"48",NA,"ACTUAL","actual",2015-02-02 23:00:00,NA,NA,NA
"49",NA,"ACTUAL","actual",2015-02-03 00:00:00,NA,NA,NA
"50",NA,"ACTUAL","actual",2015-02-03 01:00:00,NA,NA,NA
"51",NA,"ACTUAL","actual",2015-02-03 02:00:00,NA,NA,NA
"52",NA,"ACTUAL","actual",2015-02-03 03:00:00,NA,NA,NA
"53",NA,"ACTUAL","actual",2015-02-03 04:00:00,NA,NA,NA
"54",NA,"ACTUAL","actual",2015-02-03 05:00:00,NA,NA,NA
"55",NA,"ACTUAL","actual",2015-02-03 06:00:00,NA,NA,NA
"56",NA,"ACTUAL","actual",2015-02-03 07:00:00,NA,NA,NA
"57",NA,"ACTUAL","actual",2015-02-03 08:00:00,NA,NA,NA
"58",NA,"ACTUAL","actual",2015-02-03 09:00:00,NA,NA,NA
"59",NA,"ACTUAL","actual",2015-02-03 10:00:00,NA,NA,NA
"60",NA,"ACTUAL","actual",2015-02-03 11:00:00,NA,NA,NA
"61",NA,"ACTUAL","actual",2015-02-03 12:00:00,NA,NA,NA
